INACTIVE,0,2.254952907562256
ABS_HAT0Y,-1,2.254952907562256
ABS_HAT0X,1,2.27046275138855
INACTIVE,0,0.32804226875305176
ABS_HAT0X,0,2.5985050201416016
ABS_HAT0Y,0,2.638550281524658
INACTIVE,0,0.4160325527191162
ABS_HAT0Y,-1,3.0545828342437744
ABS_HAT0X,-1,3.1417269706726074
INACTIVE,0,0.28885722160339355
ABS_HAT0X,0,3.430584192276001
ABS_HAT0Y,0,3.4380974769592285
INACTIVE,0,0.42391371726989746
ABS_HAT0Y,-1,3.862011194229126
ABS_HAT0X,1,3.926175117492676
INACTIVE,0,0.3123049736022949
ABS_HAT0X,0,4.238480091094971
INACTIVE,0,0.20019054412841797
ABS_HAT0Y,0,4.438670635223389
INACTIVE,0,0.21549725532531738
ABS_HAT0X,1,4.654167890548706
INACTIVE,0,0.8403143882751465
ABS_HAT0X,0,5.4944822788238525
INACTIVE,0,0.2397925853729248
ABS_HAT0Y,1,5.734274864196777
INACTIVE,0,1.055767297744751
ABS_HAT0Y,0,6.790042161941528
